municipality_code,year,measure_type,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,municipality_name
270650,2000,occurrence,0,10,11,0,Passo de Camaragibe
270660,2000,occurrence,0,0,0,0,Paulo Jacinto
270670,2000,occurrence,74,119,138,2,Penedo
270680,2000,occurrence,1,1,1,0,Piaçabuçu
270700,2000,occurrence,0,0,0,0,Pindoba
270720,2000,occurrence,0,2,2,0,Poço das Trincheiras
270740,2000,occurrence,0,0,0,0,Porto de Pedras
270750,2000,occurrence,0,2,3,0,Porto Real do Colégio
270770,2000,occurrence,2,8,10,0,Rio Largo
270780,2000,occurrence,5,14,16,0,Roteiro
270790,2000,occurrence,0,1,2,0,Santa Luzia do Norte
270810,2000,occurrence,3,4,5,0,Santana do Mundaú
270820,2000,occurrence,0,0,0,0,São Brás
270870,2000,occurrence,0,2,2,0,São Miguel dos Milagres
270880,2000,occurrence,0,1,3,0,São Sebastião
270890,2000,occurrence,1,3,3,0,Satuba
270895,2000,occurrence,4,13,14,0,Senador Rui Palmeira
270900,2000,occurrence,0,0,0,0,Tanque d'Arca
270910,2000,occurrence,0,2,2,0,Taquarana
270915,2000,occurrence,1,8,11,0,Teotônio Vilela
270920,2000,occurrence,0,4,5,0,Traipu
270460,2000,occurrence,0,1,1,0,Maravilha
270060,2000,occurrence,0,0,0,0,Barra de São Miguel
270210,2000,occurrence,4,23,25,0,Colônia Leopoldina
270800,2000,occurrence,19,37,42,2,Santana do Ipanema
270030,2000,occurrence,116,225,271,4,Arapiraca
230280,2000,occurrence,26,48,51,0,Canindé
270230,2000,occurrence,34,50,54,1,Coruripe
270120,2000,occurrence,1,4,6,0,Cacimbinhas
251150,2000,occurrence,0,3,4,0,Pilar
330330,2000,occurrence,159,220,239,7,Niterói
280270,2000,occurrence,0,1,3,0,Ilha das Flores
280430,2000,occurrence,0,1,1,0,Muribeca
280640,2000,occurrence,0,0,0,0,Santana do São Francisco
280120,2000,occurrence,6,22,28,0,Canindé de São Francisco
290490,2000,occurrence,8,11,13,0,Cachoeira
290570,2000,occurrence,70,98,108,1,Camaçari
290650,2000,occurrence,10,14,16,0,Candeias
290670,2000,occurrence,5,8,8,0,Cândido Sales
290850,2000,occurrence,1,2,3,0,Conceição do Jacuípe
291420,2000,occurrence,1,2,3,0,Irajuba
292320,2000,occurrence,0,2,2,0,Oliveira dos Brejinhos
292740,2000,occurrence,1128,1532,1771,20,Salvador
293350,2000,occurrence,2,5,6,0,Wenceslau Guimarães
314710,2000,occurrence,23,26,26,2,Pará de Minas
311420,2000,occurrence,0,1,2,0,Carmo do Cajuru
316255,2000,occurrence,0,1,2,0,São João do Manhuaçu
312770,2000,occurrence,114,153,174,2,Governador Valadares
312670,2000,occurrence,1,4,5,0,Francisco Sá
320500,2000,occurrence,53,79,90,3,Serra
320100,2000,occurrence,2,3,4,0,Boa Esperança
330350,2000,occurrence,203,319,368,15,Nova Iguaçu
330575,2000,occurrence,0,3,3,1,Tanguá
353180,2000,occurrence,0,1,1,0,Monte Mor
351300,2000,occurrence,56,88,94,2,Cotia
350920,2000,occurrence,9,12,12,0,Cajamar
352500,2000,occurrence,38,45,45,1,Jandira
410490,2000,occurrence,21,37,43,1,Castro
411520,2000,occurrence,80,98,105,5,Maringá
410850,2000,occurrence,2,10,11,0,General Carneiro
421140,2000,occurrence,1,1,1,0,Nova Erechim
420330,2000,occurrence,0,2,3,0,Campo Alegre
510170,2000,occurrence,5,10,10,0,Barra do Bugres
520510,2000,occurrence,14,14,17,0,Catalão
270010,2005,residence,11,19,21,1,Água Branca
270690,2005,residence,6,10,11,0,Pilar
270400,2005,residence,5,6,10,1,Junqueiro
270150,2005,residence,6,10,11,0,Campo Grande
270070,2005,residence,6,12,13,0,Batalha
270890,2005,residence,4,4,4,0,Satuba
270520,2005,residence,4,9,10,0,Messias
270540,2005,residence,0,2,2,0,Monteirópolis
270410,2005,residence,5,9,10,0,Lagoa da Canoa
270180,2005,residence,6,8,11,0,Carneiros
270770,2005,residence,18,24,31,0,Rio Largo
270550,2005,residence,8,18,22,0,Murici
270260,2005,residence,8,12,13,1,Feira Grande
270460,2005,residence,2,2,2,1,Maravilha
