health_region_code,year,measure_type,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
11007,2010,residence,712,5,6,8,0,7.02247191011236,8.42696629213483,11.2359550561798,0
11007,2015,occurrence,553,4,4,5,0,7.23327305605787,7.23327305605787,9.04159132007233,0
11007,2015,residence,752,7,12,14,1,9.30851063829787,15.9574468085106,18.6170212765957,132.978723404255
12001,2000,occurrence,1159,5,11,16,0,4.31406384814495,9.49094046591889,13.8050043140639,0
12001,2000,residence,1185,9,17,25,0,7.59493670886076,14.3459915611814,21.0970464135021,0
12001,2005,occurrence,1312,6,14,19,0,4.57317073170732,10.6707317073171,14.4817073170732,0
12001,2005,residence,1403,19,29,37,1,13.5424091233072,20.6699928724163,26.3720598717035,71.2758374910905
12001,2010,occurrence,1098,6,10,16,0,5.46448087431694,9.10746812386157,14.5719489981785,0
12001,2010,residence,1278,18,23,29,0,14.0845070422535,17.9968701095462,22.6917057902973,0
12001,2015,occurrence,1079,7,12,15,0,6.48748841519926,11.1214087117702,13.9017608897127,0
12001,2015,residence,1370,16,27,31,1,11.6788321167883,19.7080291970803,22.6277372262774,72.992700729927
12002,2000,occurrence,10197,175,289,341,5,17.1619103657939,28.3416691183682,33.4412081984898,49.0340296165539
12002,2000,residence,10104,170,280,324,6,16.8250197941409,27.7117973079968,32.0665083135392,59.3824228028504
12002,2005,occurrence,10589,138,244,297,6,13.0323921050146,23.0427802436491,28.0479743129663,56.6625743696289
12002,2005,residence,10302,122,217,265,5,11.8423607066589,21.0638710929917,25.7231605513493,48.534265191225
12002,2010,occurrence,10151,132,215,250,4,13.0036449610876,21.1801792926805,24.6281154566053,39.4049847305684
12002,2010,residence,9717,112,183,215,4,11.5261912112792,18.832973139858,22.1261706287949,41.1649686117114
12002,2015,occurrence,11050,126,213,236,7,11.4027149321267,19.2760180995475,21.3574660633484,63.3484162895928
12002,2015,residence,10336,96,157,178,6,9.28792569659443,15.1896284829721,17.2213622291022,58.0495356037152
12003,2000,occurrence,3972,87,175,204,2,21.9033232628399,44.0584088620342,51.3595166163142,50.3524672708963
12003,2000,residence,3937,89,179,211,2,22.6060452120904,45.4660909321819,53.5941071882144,50.8001016002032
12003,2005,occurrence,5931,48,116,147,2,8.09307030854831,19.5582532456584,24.7850278199292,33.7211262856179
12003,2005,residence,5777,50,119,152,2,8.65501125151463,20.5989267786048,26.3112342046045,34.6200450060585
12003,2010,occurrence,5734,50,74,87,2,8.71991628880363,12.9054761074294,15.1726543425183,34.8796651552145
