municipality_code,year,measure_type,municipality_name,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
110010,2005,occurrence,Guajará-Mirim,1009,12,13,15,1,11.8929633300297,12.8840436075322,14.8662041625372,99.1080277502478
110010,2005,residence,Guajará-Mirim,933,12,14,17,1,12.8617363344051,15.005359056806,18.2207931404073,107.181136120043
110010,2010,occurrence,Guajará-Mirim,934,10,13,15,0,10.7066381156317,13.9186295503212,16.0599571734475,0
110010,2010,residence,Guajará-Mirim,882,10,16,19,0,11.3378684807256,18.140589569161,21.5419501133787,0
110010,2015,occurrence,Guajará-Mirim,983,3,8,8,0,3.05188199389624,8.1383519837233,8.1383519837233,0
110010,2015,residence,Guajará-Mirim,831,7,16,20,0,8.42358604091456,19.2539109506619,24.0673886883273,0
110011,2000,occurrence,Jaru,1309,20,28,34,0,15.2788388082506,21.3903743315508,25.974025974026,0
110011,2000,residence,Jaru,1210,20,28,34,0,16.5289256198347,23.1404958677686,28.099173553719,0
110011,2005,occurrence,Jaru,1280,4,9,11,0,3.125,7.03125,8.59375,0
110011,2005,residence,Jaru,1014,6,12,16,0,5.91715976331361,11.8343195266272,15.7790927021696,0
110011,2010,occurrence,Jaru,1005,4,8,9,0,3.98009950248756,7.96019900497513,8.95522388059701,0
110011,2010,residence,Jaru,819,8,16,17,0,9.76800976800977,19.5360195360195,20.7570207570208,0
110011,2015,occurrence,Jaru,712,1,1,3,0,1.40449438202247,1.40449438202247,4.21348314606742,0
110011,2015,residence,Jaru,788,8,12,12,0,10.1522842639594,15.2284263959391,15.2284263959391,0
110012,2000,occurrence,Ji-Paraná,2861,64,87,93,0,22.3698007689619,30.4089479203076,32.5061167423978,0
110012,2000,residence,Ji-Paraná,2654,54,76,80,1,20.3466465712133,28.6360211002261,30.1431801055011,37.6789751318764
110012,2005,occurrence,Ji-Paraná,2635,31,47,51,2,11.7647058823529,17.8368121442125,19.3548387096774,75.9013282732448
110012,2005,residence,Ji-Paraná,2215,36,51,58,3,16.2528216704289,23.0248306997743,26.1851015801354,135.440180586907
110012,2010,occurrence,Ji-Paraná,1604,21,31,36,0,13.0922693266833,19.3266832917706,22.4438902743142,0
110012,2010,residence,Ji-Paraná,1535,32,46,53,4,20.8469055374593,29.9674267100977,34.5276872964169,260.586319218241
110012,2015,occurrence,Ji-Paraná,2789,6,10,13,0,2.15130871280029,3.58551452133381,4.66116887773396,0
110012,2015,residence,Ji-Paraná,2094,22,33,36,0,10.5062082139446,15.7593123209169,17.1919770773639,0
110013,2000,occurrence,Machadinho D'Oeste,536,4,10,13,0,7.46268656716418,18.6567164179105,24.2537313432836,0
110013,2000,residence,Machadinho D'Oeste,550,5,11,14,0,9.09090909090909,20,25.4545454545455,0
110013,2005,occurrence,Machadinho D'Oeste,565,3,4,5,0,5.30973451327434,7.07964601769912,8.84955752212389,0
110013,2005,residence,Machadinho D'Oeste,663,5,7,9,0,7.54147812971342,10.5580693815988,13.5746606334842,0
110013,2010,occurrence,Machadinho D'Oeste,426,1,2,3,0,2.34741784037559,4.69483568075117,7.04225352112676,0
110013,2010,residence,Machadinho D'Oeste,501,3,6,7,0,5.98802395209581,11.9760479041916,13.9720558882236,0
