municipality_code,year,measure_type,live_births,municipality_name
270915,2000,residence,766,Teotônio Vilela
270400,2000,residence,485,Junqueiro
270820,2000,residence,109,São Brás
270170,2000,residence,391,Capela
270910,2000,residence,452,Taquarana
270590,2000,residence,94,Olho d'Água Grande
270290,2000,residence,714,Girau do Ponciano
270920,2000,residence,399,Traipu
270120,2000,residence,258,Cacimbinhas
270440,2000,residence,376,Major Isidoro
270040,2000,residence,901,Atalaia
270550,2000,residence,571,Murici
270570,2000,residence,470,Olho d'Água das Flores
270180,2000,residence,186,Carneiros
270540,2000,residence,212,Monteirópolis
270895,2000,residence,232,Senador Rui Palmeira
270840,2000,residence,877,São José da Tapera
270010,2000,residence,456,Água Branca
270250,2000,residence,329,Dois Riachos
270270,2000,residence,73,Feliz Deserto
270230,2000,residence,1086,Coruripe
270660,2000,residence,127,Paulo Jacinto
270260,2000,residence,501,Feira Grande
270650,2000,residence,268,Passo de Camaragibe
270700,2000,residence,43,Pindoba
270490,2000,residence,77,Mar Vermelho
270940,2000,residence,605,Viçosa
270600,2000,residence,220,Olivença
270860,2000,residence,1552,São Miguel dos Campos
270020,2000,residence,365,Anadia
270780,2000,residence,248,Roteiro
270710,2000,residence,667,Piranhas
270642,2000,residence,182,Pariconha
270790,2000,residence,158,Santa Luzia do Norte
270480,2000,residence,308,Maribondo
270410,2000,residence,468,Lagoa da Canoa
270930,2000,residence,1596,União dos Palmares
270470,2000,residence,781,Marechal Deodoro
270070,2000,residence,408,Batalha
270100,2000,residence,581,Boca da Mata
270740,2000,residence,147,Porto de Pedras
270870,2000,residence,79,São Miguel dos Milagres
270900,2000,residence,105,Tanque d'Arca
270420,2000,residence,437,Limoeiro de Anadia
270310,2000,residence,493,Igaci
270760,2000,residence,263,Quebrangulo
270280,2000,residence,284,Flexeiras
270255,2000,residence,284,Estrela de Alagoas
270110,2000,residence,228,Branquinha
270630,2000,residence,1703,Palmeira dos Índios
270340,2000,residence,150,Jacaré dos Homens
270090,2000,residence,153,Belo Monte
270370,2000,residence,118,Jaramataia
270720,2000,residence,301,Poço das Trincheiras
270030,2000,residence,4885,Arapiraca
270620,2000,residence,161,Palestina
270530,2000,residence,121,Minador do Negrão
270770,2000,residence,1166,Rio Largo
270050,2000,residence,310,Barra de Santo Antônio
270330,2000,residence,433,Inhapi
270580,2000,residence,198,Olho d'Água do Casado
270644,2000,residence,209,Paripueira
270220,2000,residence,101,Coqueiro Seco
130200,2000,occurrence,205,Itapiranga
210900,2000,occurrence,757,Porto Franco
210530,2000,occurrence,4161,Imperatriz
221080,2000,occurrence,450,Simplício Mendes
220213,2000,occurrence,8,Campo Grande do Piauí
270150,2000,occurrence,14,Campo Grande
240020,2000,occurrence,1565,Açu
240930,2000,occurrence,587,Patu
250750,2000,occurrence,16418,João Pessoa
250400,2000,occurrence,11209,Campina Grande
260140,2000,occurrence,1854,Barreiros
261420,2000,occurrence,912,Sirinhaém
260750,2000,occurrence,526,Itaíba
260470,2000,occurrence,216,Correntes
260050,2000,occurrence,783,Águas Belas
260370,2000,occurrence,466,Canhotinho
260600,2000,occurrence,4693,Garanhuns
261340,2000,occurrence,28,São José da Coroa Grande
261160,2000,occurrence,42586,Recife
260420,2000,occurrence,334,Catende
260160,2000,occurrence,509,Belém de São Francisco
261000,2000,occurrence,3484,Palmares
260700,2000,occurrence,206,Inajá
270240,2000,occurrence,951,Delmiro Gouveia
260120,2000,occurrence,3059,Arcoverde
261190,2000,occurrence,429,Rio Formoso
270130,2000,occurrence,435,Cajueiro
270690,2000,occurrence,585,Pilar
270610,2000,occurrence,150,Ouro Branco
270190,2000,occurrence,38,Chã Preta
270670,2000,occurrence,3249,Penedo
270170,2000,occurrence,306,Capela
270830,2000,occurrence,501,São José da Laje
270910,2000,occurrence,269,Taquarana
270290,2000,occurrence,389,Girau do Ponciano
270120,2000,occurrence,182,Cacimbinhas
270320,2000,occurrence,79,Igreja Nova
270040,2000,occurrence,761,Atalaia
270135,2000,occurrence,151,Campestre
270450,2000,occurrence,116,Maragogi
270550,2000,occurrence,439,Murici
270570,2000,occurrence,590,Olho d'Água das Flores
270210,2000,occurrence,487,Colônia Leopoldina
270010,2000,occurrence,384,Água Branca
270250,2000,occurrence,191,Dois Riachos
270060,2000,occurrence,7,Barra de São Miguel
270660,2000,occurrence,78,Paulo Jacinto
270260,2000,occurrence,215,Feira Grande
270650,2000,occurrence,22,Passo de Camaragibe
270940,2000,occurrence,848,Viçosa
270860,2000,occurrence,2360,São Miguel dos Campos
270460,2000,occurrence,29,Maravilha
270380,2000,occurrence,464,Joaquim Gomes
270235,2000,occurrence,288,Craíbas
270440,2000,occurrence,186,Major Isidoro
270270,2000,occurrence,1,Feliz Deserto
270410,2000,occurrence,6,Lagoa da Canoa
270470,2000,occurrence,434,Marechal Deodoro
270840,2000,occurrence,49,São José da Tapera
270730,2000,occurrence,795,Porto Calvo
270020,2000,occurrence,200,Anadia
270760,2000,occurrence,236,Quebrangulo
270642,2000,occurrence,11,Pariconha
270280,2000,occurrence,182,Flexeiras
270255,2000,occurrence,4,Estrela de Alagoas
270310,2000,occurrence,15,Igaci
270510,2000,occurrence,306,Matriz de Camaragibe
270400,2000,occurrence,355,Junqueiro
270420,2000,occurrence,172,Limoeiro de Anadia
270915,2000,occurrence,231,Teotônio Vilela
270600,2000,occurrence,7,Olivença
270790,2000,occurrence,3,Santa Luzia do Norte
270350,2000,occurrence,56,Jacuípe
270430,2000,occurrence,21401,Maceió
270070,2000,occurrence,804,Batalha
270680,2000,occurrence,230,Piaçabuçu
270720,2000,occurrence,27,Poço das Trincheiras
270890,2000,occurrence,7,Satuba
270780,2000,occurrence,22,Roteiro
270880,2000,occurrence,305,São Sebastião
270640,2000,occurrence,1527,Pão de Açúcar
270630,2000,occurrence,3325,Palmeira dos Índios
270770,2000,occurrence,428,Rio Largo
270850,2000,occurrence,800,São Luís do Quitunde
270030,2000,occurrence,8578,Arapiraca
270540,2000,occurrence,7,Monteirópolis
270140,2000,occurrence,595,Campo Alegre
270360,2000,occurrence,17,Japaratinga
270300,2000,occurrence,55,Ibateguara
270620,2000,occurrence,1,Palestina
270740,2000,occurrence,5,Porto de Pedras
270810,2000,occurrence,20,Santana do Mundaú
270710,2000,occurrence,583,Piranhas
270100,2000,occurrence,386,Boca da Mata
270520,2000,occurrence,113,Messias
270750,2000,occurrence,16,Porto Real do Colégio
270590,2000,occurrence,15,Olho d'Água Grande
270050,2000,occurrence,21,Barra de Santo Antônio
270180,2000,occurrence,15,Carneiros
270644,2000,occurrence,1,Paripueira
270220,2000,occurrence,4,Coqueiro Seco
270390,2000,occurrence,34,Jundiá
270080,2000,occurrence,33,Belém
270200,2000,occurrence,13,Coité do Nóia
270920,2000,occurrence,29,Traipu
270090,2000,occurrence,1,Belo Monte
270530,2000,occurrence,73,Minador do Negrão
270820,2000,occurrence,2,São Brás
270490,2000,occurrence,1,Mar Vermelho
270580,2000,occurrence,105,Olho d'Água do Casado
270870,2000,occurrence,5,São Miguel dos Milagres
270480,2000,occurrence,9,Maribondo
270900,2000,occurrence,9,Tanque d'Arca
270110,2000,occurrence,15,Branquinha
270930,2000,occurrence,2385,União dos Palmares
270340,2000,occurrence,9,Jacaré dos Homens
270370,2000,occurrence,5,Jaramataia
270560,2000,occurrence,211,Novo Lino
270800,2000,occurrence,2350,Santana do Ipanema
270895,2000,occurrence,64,Senador Rui Palmeira
270500,2000,occurrence,435,Mata Grande
270330,2000,occurrence,247,Inhapi
270160,2000,occurrence,79,Canapi
270700,2000,occurrence,2,Pindoba
270230,2000,occurrence,1047,Coruripe
280570,2000,occurrence,1013,Propriá
280030,2000,occurrence,19858,Aracaju
280560,2000,occurrence,460,Porto da Folha
280120,2000,occurrence,131,Canindé de São Francisco
280240,2000,occurrence,15,Gararu
292400,2000,occurrence,3960,Paulo Afonso
292600,2000,occurrence,1604,Remanso
292740,2000,occurrence,46691,Salvador
293070,2000,occurrence,1211,Simões Filho
290780,2000,occurrence,1335,Cícero Dantas
293330,2000,occurrence,8730,Vitória da Conquista
291360,2000,occurrence,4005,Ilhéus
291170,2000,occurrence,2346,Guanambi
313130,2000,occurrence,4335,Ipatinga
313170,2000,occurrence,1932,Itabira
330190,2000,occurrence,5748,Itaboraí
330360,2000,occurrence,3250,Paracambi
330200,2000,occurrence,1285,Itaguaí
330170,2000,occurrence,14317,Duque de Caxias
330350,2000,occurrence,11166,Nova Iguaçu
330330,2000,occurrence,10496,Niterói
330090,2000,occurrence,212,Cambuci
330045,2000,occurrence,7786,Belford Roxo
355030,2000,occurrence,217600,São Paulo
354850,2000,occurrence,11982,Santos
354340,2000,occurrence,10236,Ribeirão Preto
355250,2000,occurrence,6256,Suzano
412760,2000,occurrence,284,Tijucas do Sul
412040,2000,occurrence,105,Presidente Castelo Branco
500110,2000,occurrence,1518,Aquidauana
500260,2000,occurrence,242,Camapuã
500270,2000,occurrence,13846,Campo Grande
510170,2000,occurrence,657,Barra do Bugres
520850,2000,occurrence,22,Goiandira
521250,2000,occurrence,1957,Luziânia
520440,2000,occurrence,204,Caiapônia
521880,2000,occurrence,2340,Rio Verde
521020,2000,occurrence,644,Iporá
530010,2000,occurrence,58021,Brasília
270100,2005,residence,587,Boca da Mata
270770,2005,residence,1124,Rio Largo
270920,2005,residence,466,Traipu
270460,2005,residence,182,Maravilha
270910,2005,residence,340,Taquarana
270915,2005,residence,998,Teotônio Vilela
270140,2005,residence,839,Campo Alegre
270400,2005,residence,505,Junqueiro
270050,2005,residence,240,Barra de Santo Antônio
270150,2005,residence,225,Campo Grande
270590,2005,residence,103,Olho d'Água Grande
270370,2005,residence,133,Jaramataia
270070,2005,residence,322,Batalha
270340,2005,residence,123,Jacaré dos Homens
270090,2005,residence,105,Belo Monte
270540,2005,residence,169,Monteirópolis
270440,2005,residence,377,Major Isidoro
270600,2005,residence,187,Olivença
270470,2005,residence,784,Marechal Deodoro
270430,2005,residence,16513,Maceió
270940,2005,residence,484,Viçosa
270490,2005,residence,58,Mar Vermelho
270190,2005,residence,176,Chã Preta
270700,2005,residence,51,Pindoba
270760,2005,residence,221,Quebrangulo
270660,2005,residence,150,Paulo Jacinto
270130,2005,residence,460,Cajueiro
270170,2005,residence,355,Capela
270895,2005,residence,273,Senador Rui Palmeira
270570,2005,residence,399,Olho d'Água das Flores
270180,2005,residence,183,Carneiros
270120,2005,residence,223,Cacimbinhas
270250,2005,residence,248,Dois Riachos
270040,2005,residence,942,Atalaia
270880,2005,residence,714,São Sebastião
270690,2005,residence,573,Pilar
270820,2005,residence,141,São Brás
270750,2005,residence,371,Porto Real do Colégio
270010,2005,residence,433,Água Branca
270642,2005,residence,154,Pariconha
270375,2005,residence,276,Jequiá da Praia
270830,2005,residence,518,São José da Laje
